Id;Class.Method;Description
0x0001;CodedExceptionAttribute.IsCodedException;ex is null.
0x0002;AssemblyFacilityIdentifierAttribute.ctor;facilityId is less than 0 or greater than 2047.
0x0003;AssemblyFacilityIdentifierAttribute.FromAssembly;assembly is null.
0x0004;AssemblyFacilityIdentifierAttribute.FromType;type is null.
0x0005;AssemblyFacilityIdentifierAttribute.TryGetOverride(Assembly,out int);assembly is null.
0x0006;AssemblyFacilityIdentifierAttribute.TryGetOverride(Type, out int);type is null.
0x0007;HResultHelper.CreateToString;ex is null.
0x0008;ExceptionExtensions.GetErrorId;ex is null.
0x0009;ExceptionExtensions.GetFacilityId;ex is null.
0x000a;ExceptionExtensions.IsCodedException;ex is null.
0x000b;ExceptionExtensions.IsCustomHResult;ex is null.
0x000c;FacilityOverride.ctor(AssemblyName, int);assemblyName is null.
0x000d;FacilityOverride.ctor(string, int);assemblyName is null.
0x000e;XmlFacilityOverrides.GetFacilityOverrides: Cannot open file.
